userName,score,at,content
Lestari,5,2026-04-29 14:14:10,👍👍👍
Hendra ika,3,2026-04-29 13:41:11,"kenpa setiap buka aplikasi selalu terhenti,mhn dbantu"
Parlin Nababan,5,2026-04-29 13:20:37,cukup
Tesa 1406,5,2026-04-29 13:18:24,proses mudah dan cepat
Devino Primanda,1,2026-04-29 12:33:49,login saja tidak bisa
Riska Permana Wati,5,2026-04-29 11:30:52,Sangat baik
Yan Antono,5,2026-04-29 10:20:34,mudah digunakan
Teguh Wahyuni,1,2026-04-29 10:06:36,gak bisa di buka di hp Oppo A31 kenapa yah
suprapno suprapno,5,2026-04-29 09:11:50,"aplikasi ga bisa dibuka, knapa?"
Natasha Sekar Ayu,1,2026-04-29 08:10:09,"mau antri online lewat lapak asik. mantap buat nunggu upload foto KTP sampe makan waktu hampir 1 jam, nomor call center tidak bisa dihubungi. hadeh... pelayanan pemerintah knp begini bgt ya, apa lapor ke ""Lapor Mas Gibran"" soalnya websitenya jelek bgt"
Hey Marsella,1,2026-04-29 08:08:35,"mau antri online lewat lapak asik. mantap buat nunggu upload foto KTP sampe makan waktu hampir 1 jam, nomor call center tidak bisa dihubungi. hadeh... pelayanan pemerintah knp begini bgt ya, apa lapor ke ""Lapor Mas Gibran"" soalnya websitenya elek nemen"
Rina Wahyuningsih,5,2026-04-29 08:05:42,pelayanan baik dan ramah
Faroja Nur Savira,5,2026-04-29 07:54:54,puas SM apk nya
Aris Cungis,1,2026-04-29 07:54:34,"setelah di perbarui kenapa gabisa login, tombol login di pencet tapi gabisa kalau salain itu bisa semisal mencet tombol buat akun /lupa sandi bisa tapi knp mau login/mencet tombol login gabisa sama sekali"
The Jedhig,4,2026-04-29 07:42:49,"di adroid 13 samsung gak bisa dibuka, kenapa ya"
Gustina Sari,5,2026-04-29 07:39:15,Sangat membantu untuk para karyawan seperti kami yang ingin mengecek hak kami sebagai peserta bpjs di perusahaan
Surya Vegantara,1,2026-04-29 07:27:02,JMO gak jelas email sudah bener password dah bener masih susah login..signal juga 4G+...mau alasan apa lagi
Avril Hakim,2,2026-04-29 07:12:21,masalah di login masuk saat melakukan kata sandi nya lama banget. LEMOTTT
Faysal Gilang Febriansyah,5,2026-04-29 06:51:38,Sangat membantu
Rapli 23,1,2026-04-29 06:24:35,"saat ingin verivikasi biometrik malah diminta tersenyum, gimana untuk orang yang tidak bisa tersenyum (permintaannya aneh banget)"
Zakir Ode,5,2026-04-29 06:16:49,pengkinian data suka error
Ikhlasul Amal,5,2026-04-29 06:02:55,semoga aplikasi jmo ini semakin banyak manfaatnya
Nur Kholis,5,2026-04-29 05:59:09,"pengkinian data susah, tolong di perbaiki aplikasinya"
Manzari Syahputra,3,2026-04-29 05:56:04,saya saat ini mengalami keluhan mohon di tindak lanjuti saya mau pengkinian data namun tidak bisa
Rachmat Kurnia,5,2026-04-29 05:47:55,kaga bisa dibuka diperangkat android 14 tolong infonya
Ruth SarHut,1,2026-04-29 05:42:39,"aneh sekali aplikasi ini. saya mau buat akun , namun sudah terdaftar, setelah saya input email dan password nya, tdk ada akses."
guns gs,5,2026-04-29 05:26:08,klaim 10% loading data nya lama meluluu
Feriati Djara,5,2026-04-29 05:23:33,sukses
Rosyid Tukiman,5,2026-04-29 05:05:27,sangat bermanfaat
Ilham Maulana,1,2026-04-29 04:55:28,apliakasi tidak berguna sama sekali mending langsung ke kantornya sja
Ella Firanti,5,2026-04-29 04:50:44,"bagus ok, job"
Wahyu Awe,5,2026-04-29 04:31:28,kenapa tdk bisa di buka aplikasinya
ICHSAN P,5,2026-04-29 04:11:26,sangat mudah dan ramahh
amy alviyani,5,2026-04-29 04:04:32,.sangat membantu sekali
Sri Wulandari,5,2026-04-29 03:46:56,"Mantapp, sangat cepat pencairan nya ga sanpai 2 menit cairkan JHT"
Budi Santoso,5,2026-04-29 03:22:52,sat set whazz whuzzz...
Desi,4,2026-04-29 03:21:03,sering logout dengan sendirinya dan kadang susah untuk login lagi
X Bloodz,1,2026-04-29 03:15:28,"Aplikasi kontolllllll gak Mempermudah proses malah dipersulitt ini gimana yg buat Aplikasi, emang sengaja disetting agar tidak cair apa gimana ini, uang"" kita kenapa dipersulitttt emang aplikasi Babi"
Tofan Feri,5,2026-04-29 03:15:06,mantap
yuli Setiarini,5,2026-04-29 03:14:01,oke
imam abrori,5,2026-04-29 03:06:37,good
Onon Siregar,5,2026-04-29 02:53:23,sangat membantu
Efrizaldi Agussaputra,5,2026-04-29 02:53:12,sangat membantu
Nasriel Nompo,5,2026-04-29 02:50:26,sangat bagus dan sangat membantu
Bertha Hutajulu,5,2026-04-29 02:46:38,Melayani dengan baik & cepat
Ezra Alamsyah,5,2026-04-29 02:44:06,bagus bangetv
Toto Heryanto,5,2026-04-29 02:00:36,baik sangat bermanfaat
Ashr R,5,2026-04-29 01:51:08,sangat memudahkan tanpa harus antri berdesakan dikantor pelayanan
Nazar Nazar,5,2026-04-29 01:22:15,mantap
Cicih Cicih,1,2026-04-29 01:17:29,"login aja susah, suruh daftar online, yg bnr aja, gila dong"
intan dapenbun,5,2026-04-29 01:02:16,"Alhamdulillah, sangat memuaskan, semoga BPJS lebih baik lagi, trmks atas kerja samanya Sehat, Succes serta selalu dlm lindungan Allah 🙏"
November King,5,2026-04-29 00:59:31,👍🏻
Asep Soleh,1,2026-04-28 23:51:57,jmo rusak kah
dfactor y,1,2026-04-28 22:00:50,"jika bisa dana siaga netral, terkait instansi bisa rekom tdk hanya 1 atau 2 saja, kemudian dr masa kerja atau saldo seharusnya, mempermudah proses dan transparan terlihat di data"
Super Herro95,5,2026-04-28 18:52:33,"untuk BPJS Penerima upah sudah terdftar, setelah kembali login ke akun dengan data yang sesuai, mlah di bilangnya slaah, untuk fitur lupa sandi dan akun juga nihil hasilnya, bantuannya dong?"
Ilhamarham Ilhamarham,2,2026-04-28 18:37:42,di hp ku nda bisa terbuka tolong dong
Moch. Wahyudi,1,2026-04-28 17:05:12,Gagal login terus bos...!!!
paijo celeng,1,2026-04-28 14:23:59,"aplikasi kalau punya pemerintah itu pasti banyak kendala. anggaran aja yg gede, bikin aplikasi simple aja banyak bug."
blade 86,5,2026-04-28 14:06:34,kok g bisa di buka ya
Dwi Wijaya,5,2026-04-28 13:40:01,mntap
arti ariefa,5,2026-04-28 12:18:06,verifikasi biometrik memang agak butuh perjuangan tapi secara umum sangat baik dan ramah pengguna dan bermanfaat
Daris,2,2026-04-28 11:11:16,"muncul aplikasi berhenti terus,tidak bisa di buka di samsung s8plus android 9"
Awalisa Miftakhul Jannah,5,2026-04-28 10:56:22,bagus aplikasinya
BDR,5,2026-04-28 10:55:07,cepat dan informasi sangat membantu
nonna Kali,5,2026-04-28 10:29:16,terimakasih
bandiyo hartono,5,2026-04-28 10:05:27,ramah mudah
Jujun Junaedi,5,2026-04-28 10:01:46,bagus
Muzakkir Sakir,2,2026-04-28 09:59:30,aku ndk bisa masuk katanya aku. SDH terdaftar padahal baru pertama kalinya ini mau daftar
Toto Raharjo,5,2026-04-28 09:40:04,mantap
irianto lasena,5,2026-04-28 09:14:56,bagus apk nya membantu
Usman Amin,5,2026-04-28 09:12:31,"sangat memuaskan atas pelayanan terhadap kami, pengguna BPJS ketenagakerjaan dan trimakasih"
Tomi Tom,2,2026-04-28 08:44:31,labat respon
Dhep canel bravo586,4,2026-04-28 08:21:21,"mungkin ada yang salah dengan aplikasi baru JMOnya, kok muncul cuma 1 pilihan.. Bukan penerima upa"
Yaumal Basyar,5,2026-04-28 08:02:09,Lebih mudah lewat JMO
Puji Rahayu,5,2026-04-28 07:34:16,sangat membantu
Urip Tea,5,2026-04-28 07:25:56,mantap aplikasinya
Yos Lino,5,2026-04-28 07:20:25,Mudah dan cepat
Saleh Saban,5,2026-04-28 07:14:36,klaim lancar
Siti Nur,5,2026-04-28 07:12:10,ramah mudah
Wawan John,5,2026-04-28 07:05:19,klaim jhy cepat
Rahman Lamusu,5,2026-04-28 06:44:11,sangat puas
Herry Juliadi,5,2026-04-28 06:09:42,sabgat membantu dalam proses klaim
Roman Ardiansyah,5,2026-04-28 05:52:03,baik
Indrok86aFM,3,2026-04-28 05:49:51,padhal sandi dan akun gogle udh benar tapi gak. bisa login
Zakaria,1,2026-04-28 05:38:18,Min solusi di huawei gak bis adibuka aplikasi terus berhenti kalo. Versi lama bisa
Haryono Tamar,5,2026-04-28 05:31:05,Sangat baik dan Terima kasih.
Andre Bagus,5,2026-04-28 05:17:37,sangat bagus pelyanannya
Ardani,5,2026-04-28 05:12:46,sangat membantu
Tuan Irsada,1,2026-04-28 05:07:02,"aplikasi anjeng ini,, pencarian alamat ga bisa. scan wajah susah"
atreides paperthermal,1,2026-04-28 05:04:20,"bapuk kalim jht aja tidak dapat terhubung ke server, manual ke kantor 1 minggu"
Taufik Hidayatullah Karin,1,2026-04-28 05:02:59,GA BISA LOGIN
Hendra Permana,5,2026-04-28 05:02:55,sippp
Aang Khunaifi,1,2026-04-28 04:57:03,"aplikasi tidak bisa dibukak,mental"
Tia Silvani,3,2026-04-28 04:07:02,tidak bisa login. bisa nya dihp yg satu lg baru bisa dibuka . kenapa ya?
Yusuf Kata,1,2026-04-28 04:05:13,good
Eti Ratnasari,1,2026-04-28 03:38:52,"kacau BPJS skrng mah..udah daftar antrian online pas udah daftar ga ada no antrian..pas ke kantor harus ambil lgi antrian,,terus fungsi dftr online apa,KLO ujung ujung ngantri panjang lagi..aneh ya skrng mah,sudah tertera terpasang di spanduk ( ga prlu ngantri danpatkan no antrian secara online,,ttp aj preet)"
Ari Iswara,3,2026-04-28 03:08:01,"Aplikasinya bagus tapi kenapa setiap mau login kadang susah mau masuk menurut saya itu hal yang sangat menganggu apa ada perbaikan atau masalah lainnya, tlong di perbaiki aplikasinya agar tetap nyaman di gunakan Terima kasih"
Batu Kering,4,2026-04-28 03:02:01,ok
Muhammad ihsan,1,2026-04-28 02:47:01,apk apaan ga bisa di buka di android 16 dan iphone wkwk kocak kocak
Akhmed Sidik,5,2026-04-28 02:41:30,ok
Teo Afandi,5,2026-04-28 02:41:28,baik
Januarius Tani,4,2026-04-28 02:28:06,Semoga bermanfaat
Jani Fc,1,2026-04-28 02:12:54,kenapa saya tidak bisa masuk ke akun. email dan sandi sudah di tulis. tapi di tekan tombol login nya GX ada respon
Hendra Marcelino,5,2026-04-28 01:56:16,"sudah di instal beberapa kali,tapi susah banget masuknya kenapa yaa,tolong dibantu yaa"
"Dam, an ali Pitram",3,2026-04-28 01:50:48,"makin hari makin ribet apk JMO ini selalu alasan keamanan itu pihak admin tdk mikir kalo buat aturan baru, setiap habis lodiang apk akan log out sendiri lodiang lagi tdk bisa lagi sampai sekarang akun aku terblokir gara gara masukan password salah 3 x, tolong buat admin sistem ya di perbaiki lagi ribet pakai sistem sekarang tdk seperti tahun sebelumnya"
Norii Melania,5,2026-04-28 01:39:06,layanan cepat & Mudah
Abu Kelana,5,2026-04-28 01:37:31,"sangat membantu, good process & service"
Firda Maulidiyah,1,2026-04-28 00:33:46,"pengkinian datanya susah, banyak file yang harus disiapkan, ketika keluar dari apk mulai dari awal lagi terus sprti itu smpe 3x udh gabisa masuk lagi deh. parah!"
GenQsa 1916,5,2026-04-28 00:02:00,i like it 😁
Rahma Wulan,3,2026-04-27 23:17:19,"padahal data sudah sesuai tapi tetap aja gabisa Lanjut ke halaman berikutnya. selalu ""Pastikan data diri sesuai dengan ekpt"""
Ahmad Yusuf Faizin 12B SMK Purnama Tempuran,1,2026-04-27 23:16:59,"aplikasi gak bisa dibuka selalu force slosed sendiri, padahal sebelum nya tahun 2024 aman aja di android 7 armv7a bisa berjalan. mohon di update bug. nya"
Abdul Salam,1,2026-04-27 22:25:02,"sudah berulang kali aplikasi ini di donlowad di hapus di donlowad tapi tetap tdk bisa terbuka, kalau aplikasinya di buka cuma tampil layar putih lalu keluar kembali. Membosankan."
Hari Saptono,5,2026-04-27 20:09:01,bagus sekali
Heroe Sinaga,1,2026-04-27 18:42:36,buka aplikasi langsung terhenti mendadak...secara ber ulang
Annisa “Nissa” Shabaniah,5,2026-04-27 16:45:10,terima kasih sdh menjadi teman terbaik selama masih di pekerjaan... dan untuk kelanjutan untuk BPJS jaminan hari tua lebih transparan lagi Bos. Terima kasih 🙏🙏🙏
april,4,2026-04-27 16:18:21,tidak bisa terbuka aplikasinya
Dewi Apriliana,5,2026-04-27 14:37:32,sangat bagus & membantu
Anali Fadhli,5,2026-04-27 14:13:25,mantap
Rian Darko,1,2026-04-27 13:41:11,"aplikasi sangat konyol ,gak bisa di semua OS .aplikasi jmo ini selalu mental gak bisa di buka plis developer nya bisa kerja ga ya aplikasi sekelas pemerintah kok di batasi"
rahmat tomang,1,2026-04-27 13:26:02,aneh...E mail w ga terdaftar..ko bisa .
rudi santoso,5,2026-04-27 12:44:48,makin cepat proses dan pelayananya praktis
Nunung Siswanto,5,2026-04-27 11:50:58,terimakasih
